# SYNTHETIC DATA — NER-SHIELD Disruption Dataset
# Generated by: backend/ai/disruption/generate_dataset.py
# Seed: 42 | Samples: 1000
# This file contains synthetically generated data only.
# Replace with real data by dropping a real CSV at this path.
rainfall_mm,flood_level,landslide_indicator,road_condition,traffic_level,historical_incidents,terrain_risk,bridge_condition,incident_severity,connectivity_score,disruption
323.8,1,1,3,2,5,0,0,1,0.517,1
203.4,0,2,0,1,10,1,2,2,0.005,1
121.4,1,2,0,1,6,0,1,1,0.637,0
206.8,3,0,2,1,0,0,1,0,0.108,1
8.0,0,0,2,0,3,2,0,0,0.479,1
335.5,0,0,2,1,4,1,0,0,0.26,0
168.8,0,1,0,3,3,2,1,3,0.392,0
274.0,0,1,2,2,2,0,1,1,0.537,0
29.0,1,1,1,2,5,1,0,0,0.014,0
170.3,0,1,1,1,4,1,0,0,0.285,0
171.7,2,0,0,1,3,2,1,3,0.99,0
328.2,2,1,3,0,4,2,0,0,0.057,1
200.1,2,1,0,1,3,1,0,1,0.319,0
165.7,0,0,2,1,2,1,1,1,0.321,0
93.4,0,2,1,1,4,0,0,0,0.379,0
116.0,1,0,2,0,10,1,0,0,0.685,0
182.2,2,2,2,2,5,0,0,0,0.248,1
153.6,0,1,2,1,6,1,2,0,0.46,0
7.6,2,0,0,1,10,0,0,1,0.645,0
289.2,0,1,0,0,6,2,1,2,0.322,0
313.7,2,0,1,1,2,1,2,0,0.949,0
49.1,0,1,1,1,4,1,1,1,0.98,0
193.9,0,1,0,1,5,1,1,0,0.12,0
38.0,1,0,0,2,5,1,1,0,0.344,0
235.3,0,1,1,0,1,0,0,2,0.208,0
98.4,0,0,0,3,1,2,1,2,0.187,0
230.8,0,0,0,0,3,2,2,2,0.491,0
254.4,0,0,3,1,10,0,1,0,0.564,0
269.0,2,0,1,0,7,2,0,1,0.426,1
37.7,0,0,3,1,9,1,0,0,0.273,0
320.6,1,0,3,1,1,0,2,3,0.279,1
80.6,2,0,0,3,4,1,0,1,0.992,0
13.1,0,0,2,1,6,0,1,3,0.924,0
194.2,0,1,1,2,4,0,0,0,0.076,0
129.8,2,0,2,0,4,2,1,0,0.657,0
290.4,2,1,0,0,3,1,1,2,0.457,1
282.9,1,0,0,1,0,2,0,0,0.689,0
111.0,2,0,0,1,9,2,0,1,0.597,0
333.5,0,0,1,1,10,2,1,1,0.889,0
101.8,0,0,3,4,0,1,0,3,0.067,0
180.3,1,0,2,2,4,2,0,0,0.35,0
89.6,0,0,2,4,5,1,1,3,0.985,0
327.6,2,0,3,1,8,1,0,0,0.182,1
57.6,1,0,2,2,10,1,1,0,0.127,0
15.7,2,0,0,2,4,2,0,1,0.729,0
152.3,0,0,2,2,8,0,0,0,0.777,0
347.3,0,1,1,4,10,1,2,3,0.672,1
312.1,0,0,0,2,9,2,0,3,0.776,0
262.0,0,2,1,3,3,1,0,3,0.694,1
311.8,2,1,3,2,8,2,1,3,0.136,1
312.7,0,2,0,0,4,1,2,1,0.608,0
181.6,0,1,1,2,0,0,1,0,0.777,0
110.6,0,0,0,1,8,1,1,2,0.866,0
270.2,0,0,0,3,9,1,0,0,0.246,0
231.6,2,0,0,3,3,0,0,2,0.127,1
130.8,0,1,2,0,4,0,2,0,0.781,0
33.1,3,0,2,0,4,0,2,1,0.257,0
261.4,0,0,0,0,1,2,1,0,0.032,0
91.9,1,2,0,1,10,2,0,0,0.825,0
327.9,0,0,0,0,0,1,0,0,0.506,0
84.3,0,0,0,2,6,0,0,0,0.327,0
43.0,2,1,1,2,0,1,2,0,0.011,0
290.9,3,0,2,3,7,2,1,0,0.035,1
53.6,2,0,1,1,9,2,0,0,0.793,0
62.7,0,1,1,1,7,1,0,1,0.49,0
209.8,0,0,1,0,6,0,0,0,0.15,0
306.1,1,0,0,3,9,2,0,2,0.359,1
68.8,0,0,0,0,10,2,1,0,0.165,0
108.6,1,1,3,0,9,0,1,1,0.113,1
272.1,1,0,2,0,2,2,0,0,0.276,0
340.1,1,2,3,3,6,0,1,1,0.55,1
175.3,2,1,3,0,9,0,2,1,0.21,1
50.4,1,0,1,2,3,2,0,1,0.344,0
4.9,0,0,3,2,7,1,0,0,0.478,0
80.4,0,0,1,2,0,1,0,1,0.42,0
46.1,1,1,0,0,9,2,0,0,0.129,0
237.2,0,0,0,0,6,2,1,0,0.039,0
42.6,0,0,0,1,8,0,1,0,0.035,0
177.2,0,0,0,0,9,1,0,1,0.35,0
243.0,2,2,1,2,2,2,0,0,0.719,1
203.4,2,0,2,1,4,1,2,2,0.131,1
69.9,1,1,2,1,9,2,0,0,0.787,0
281.4,0,0,1,0,1,2,1,0,0.716,0
250.4,0,2,0,2,9,0,1,0,0.004,1
258.6,1,0,2,0,3,0,1,0,0.027,0
45.9,0,0,1,2,6,2,1,1,0.195,0
43.3,1,2,0,0,5,2,1,2,0.056,0
324.6,1,2,0,4,7,0,1,2,0.531,1
139.2,0,0,1,2,9,0,0,0,0.04,1
105.3,0,0,0,0,3,2,0,0,0.803,0
171.0,0,0,2,0,1,0,0,2,0.493,0
232.0,2,0,2,1,4,0,0,0,0.728,0
334.5,1,0,2,0,6,2,0,0,0.751,1
100.3,0,1,0,0,8,2,0,2,0.507,0
323.7,2,0,2,3,8,2,0,0,0.925,1
8.7,0,1,2,2,3,2,0,0,0.99,0
194.3,0,0,0,0,10,1,0,0,0.359,0
221.9,3,0,1,2,0,2,1,1,0.126,1
37.1,0,1,1,1,1,1,1,0,0.363,0
49.1,0,0,1,4,0,1,1,1,0.223,0
146.7,1,1,0,0,10,2,1,0,0.531,0
338.2,0,0,1,2,1,2,2,0,0.378,0
208.6,1,2,0,2,6,2,1,0,0.48,1
326.6,0,1,0,0,8,0,0,2,0.763,0
281.5,0,1,0,0,8,2,2,0,0.274,0
163.6,0,0,3,1,10,1,0,1,0.537,1
274.7,0,0,0,3,0,2,1,0,0.335,0
6.2,0,0,1,1,4,2,1,0,0.785,0
38.2,0,0,1,2,5,1,0,0,0.64,0
290.3,2,0,2,2,7,2,1,1,0.009,1
278.9,0,0,1,3,6,1,0,0,0.66,0
81.4,0,0,3,1,6,2,0,2,0.17,0
185.8,0,0,0,1,3,2,0,3,0.724,0
212.1,0,0,0,2,1,2,0,2,0.567,0
303.7,0,0,1,1,4,0,0,1,0.401,0
211.1,1,0,1,3,2,0,1,1,0.694,0
144.4,0,0,2,0,6,2,1,1,0.857,0
131.0,2,0,2,0,8,2,0,0,0.779,0
149.1,3,0,1,3,6,2,1,2,0.545,1
228.2,0,0,3,1,6,0,0,2,0.723,0
303.6,0,1,1,0,0,1,0,0,0.414,0
158.9,0,0,0,0,7,2,1,3,0.789,0
86.7,1,0,1,1,4,2,2,2,0.829,1
82.8,0,2,0,3,1,0,0,0,0.137,0
261.1,2,0,2,0,2,1,0,3,0.238,1
285.8,2,2,0,0,8,0,1,0,0.27,1
36.8,2,1,1,1,10,1,2,0,0.166,0
23.3,1,0,1,4,5,0,0,0,0.393,0
208.1,3,0,0,1,10,0,0,1,0.193,0
51.2,0,1,0,4,1,0,0,0,0.596,0
288.6,0,2,2,3,3,2,1,3,0.102,0
108.6,0,0,0,1,10,2,2,0,0.27,0
50.4,3,0,1,3,1,2,1,0,0.666,0
322.3,1,0,1,2,7,1,0,1,0.399,0
57.9,2,0,0,1,2,1,1,0,0.421,0
99.7,0,1,0,1,3,1,1,1,0.798,0
53.8,3,0,2,3,5,1,0,0,0.985,0
40.4,0,1,3,2,3,1,1,3,0.565,0
7.4,0,1,0,2,9,2,0,1,0.079,0
19.4,3,0,3,4,10,2,0,0,0.103,1
61.1,0,0,1,1,5,2,1,0,0.969,0
18.7,0,1,1,3,5,0,0,0,0.679,0
206.9,1,1,2,3,0,1,2,3,0.752,1
238.3,0,1,2,0,2,0,1,1,0.676,0
137.8,0,0,2,0,0,0,0,0,0.18,0
111.3,0,0,1,1,9,2,0,0,0.448,0
176.6,0,0,1,3,2,1,1,2,0.798,0
306.3,2,1,1,1,3,2,0,0,0.866,1
297.9,1,0,0,2,9,0,1,1,0.237,0
15.2,0,0,2,0,7,2,0,2,0.596,0
63.5,0,0,0,1,6,2,0,0,0.157,0
82.9,0,0,0,2,0,1,1,1,0.958,0
87.3,1,1,0,0,6,2,0,0,0.252,0
199.9,3,0,0,3,6,0,1,0,0.727,0
145.7,3,0,1,0,3,2,1,3,0.231,1
17.2,0,1,1,3,8,2,0,1,0.616,0
130.8,0,1,1,0,10,2,1,2,0.659,0
183.3,0,0,0,4,2,2,1,1,0.328,0
35.6,1,0,1,2,3,1,1,0,0.819,0
291.7,0,2,1,0,3,2,0,1,0.885,1
18.2,1,1,2,0,9,2,0,1,0.855,0
323.7,1,0,1,0,0,0,1,0,0.331,1
34.7,0,0,1,2,9,0,1,0,0.744,0
295.3,0,0,1,3,8,2,1,1,0.559,0
315.9,0,0,3,1,5,1,1,1,0.593,1
342.8,0,1,2,1,6,1,1,0,0.477,0
280.7,0,0,1,2,9,2,0,2,0.6,0
272.8,1,0,1,1,8,2,1,0,0.136,0
224.9,0,1,0,2,3,1,0,0,0.409,0
272.6,0,2,3,1,0,1,0,0,0.178,1
47.1,1,1,1,2,7,1,1,2,0.28,0
187.6,2,0,0,4,1,2,0,0,0.128,0
180.0,0,0,3,1,0,1,0,0,0.212,0
300.2,2,0,2,0,10,1,2,0,0.782,1
162.0,3,0,0,0,5,2,1,1,0.55,1
134.8,1,0,0,2,7,2,1,2,0.024,0
223.8,1,0,0,1,2,2,2,0,0.789,0
93.3,0,0,1,3,1,0,0,3,0.909,0
48.9,3,1,0,2,0,2,1,0,0.88,0
167.3,0,2,3,1,3,1,0,0,0.823,1
145.9,3,0,3,2,0,0,0,1,0.992,1
81.4,1,0,1,1,4,2,0,1,0.586,0
128.6,0,0,1,3,3,2,0,0,0.963,0
128.2,0,0,0,0,5,1,1,1,0.949,0
114.6,1,0,0,2,6,2,0,0,0.313,0
132.8,1,0,2,3,3,1,1,1,0.863,1
240.0,0,1,0,2,5,0,0,1,0.792,1
103.9,1,0,0,3,0,1,0,3,0.776,0
332.1,2,2,1,1,3,1,2,0,0.896,1
320.7,0,0,0,3,10,2,1,1,0.384,0
168.3,0,0,1,2,10,2,2,1,0.4,0
114.9,0,0,2,2,5,2,0,0,0.64,0
187.4,2,0,2,0,10,0,0,0,0.738,0
297.0,0,0,1,0,5,1,1,3,0.88,0
228.4,2,2,2,2,1,0,1,0,0.876,1
281.5,0,0,1,0,9,2,0,2,0.721,0
186.5,1,0,2,2,4,0,2,0,0.957,0
221.5,0,0,1,3,6,1,1,2,0.179,0
100.9,0,0,0,3,7,2,1,0,0.95,0
257.2,2,0,3,0,3,2,0,3,0.064,1
70.8,0,0,0,3,8,1,1,1,0.556,0
243.2,1,1,0,0,5,1,0,0,0.09,0
301.3,3,0,0,1,4,2,2,1,0.568,1
46.2,3,0,1,3,3,1,0,1,0.39,0
215.0,2,1,1,0,8,0,0,0,0.082,0
33.3,0,1,1,0,2,2,0,0,0.648,0
254.0,1,0,2,0,1,1,1,1,0.731,0
29.6,2,0,0,1,9,1,2,1,0.174,0
327.6,0,0,1,3,3,0,2,0,0.694,0
48.1,0,0,1,0,7,1,1,2,0.179,0
335.6,2,0,2,0,7,1,2,0,0.137,1
280.3,0,1,0,2,9,1,1,0,0.147,0
207.8,1,0,0,0,6,1,0,1,0.599,0
273.9,3,1,1,2,7,1,1,0,0.779,1
278.3,1,0,2,3,9,2,0,0,0.597,1
331.1,0,1,2,2,10,2,0,1,0.809,1
88.7,0,1,1,3,0,0,0,0,0.591,0
206.5,0,0,2,1,8,0,0,0,0.797,0
33.3,0,0,1,3,1,2,2,1,0.977,1
215.7,2,0,0,0,9,2,2,1,0.391,1
60.0,2,1,0,0,0,2,0,2,0.15,0
197.7,0,0,0,2,2,0,1,1,0.135,0
200.4,0,0,1,0,2,1,0,0,0.597,0
163.1,2,0,1,3,6,0,0,0,0.547,0
182.9,0,1,1,2,0,2,0,2,0.184,0
267.4,1,0,1,4,0,1,0,0,0.882,0
279.7,0,0,1,1,5,1,0,0,0.957,0
172.3,1,2,2,1,10,1,0,2,0.253,1
209.9,0,0,2,2,5,1,0,1,0.207,0
325.9,1,1,1,0,4,1,0,1,0.214,1
41.9,0,0,1,1,7,0,2,0,0.387,0
41.0,1,0,1,2,6,1,0,0,0.853,0
30.7,0,1,1,4,4,2,0,0,0.596,0
230.3,0,1,1,2,6,2,1,1,0.068,0
146.5,1,1,1,0,0,1,0,0,0.473,0
271.0,0,0,2,1,2,2,1,0,0.09,1
234.9,0,0,1,2,7,2,0,0,0.406,0
116.8,0,0,0,0,3,0,1,1,0.404,0
314.4,0,0,1,1,0,0,1,1,0.648,0
266.9,0,0,2,1,1,1,1,0,0.549,0
94.7,3,0,0,0,9,1,1,0,0.875,0
127.5,0,0,2,1,3,0,0,0,0.016,0
110.1,2,0,0,0,0,0,0,0,0.774,0
55.2,3,0,1,2,8,0,0,1,0.023,0
51.7,0,0,1,0,5,1,1,0,0.304,0
327.6,1,1,0,2,4,1,0,1,0.88,0
153.3,2,0,3,0,9,0,0,2,0.69,1
134.2,1,0,1,3,3,2,1,3,0.172,0
255.4,0,1,3,0,6,1,0,3,0.491,1
193.5,0,1,0,1,8,1,0,0,0.722,0
327.6,0,0,2,1,6,0,1,0,0.937,0
273.1,1,0,3,0,2,2,0,0,0.634,1
167.8,3,0,1,1,7,2,1,1,0.025,1
131.7,3,0,0,3,8,1,2,0,0.5,0
345.3,0,1,2,3,1,0,2,0,0.153,0
251.2,1,2,1,1,1,1,0,0,0.048,1
332.9,0,0,3,0,7,0,0,0,0.599,0
41.5,3,1,1,2,1,2,1,1,0.777,0
297.7,0,0,0,2,9,0,1,1,0.036,0
223.0,3,0,0,0,1,2,1,1,0.784,1
42.7,2,1,2,2,10,1,0,3,0.706,1
205.9,0,0,3,1,7,1,0,0,0.752,1
240.1,0,0,0,2,4,2,0,0,0.245,0
4.3,2,0,2,1,2,0,0,0,0.394,0
159.0,0,2,3,1,3,2,0,1,0.12,1
288.9,1,0,0,0,8,0,2,1,0.239,0
103.4,3,0,0,2,8,2,0,0,0.303,0
160.5,1,0,2,0,2,1,1,3,0.319,0
154.8,0,0,1,2,5,0,2,0,0.175,0
105.7,0,0,0,2,10,2,0,0,0.189,0
321.5,0,1,2,2,2,0,1,1,0.901,0
273.5,3,1,1,0,7,0,1,3,0.784,1
38.7,0,1,3,1,1,2,0,1,0.344,0
349.0,0,1,2,1,9,1,0,3,0.948,1
307.7,0,0,2,2,1,2,1,0,0.239,0
99.4,3,0,1,3,3,1,1,1,0.407,0
292.9,0,0,0,1,5,1,1,2,0.814,0
37.2,2,0,1,3,4,1,2,1,0.443,0
349.7,1,2,0,0,1,0,0,0,0.235,0
233.0,2,1,2,1,7,2,1,3,0.369,1
227.5,3,2,0,0,0,0,1,0,0.501,1
31.7,2,0,1,2,10,1,1,0,0.621,0
314.0,3,0,0,0,0,1,1,2,0.406,1
10.1,0,0,0,1,3,1,1,3,0.431,0
84.3,2,0,0,2,10,1,2,3,0.264,0
50.1,1,0,1,1,1,2,0,2,0.535,0
271.9,1,0,2,0,0,2,1,0,0.219,0
69.4,2,0,0,0,8,2,0,3,0.868,0
318.7,3,2,2,1,0,1,1,0,0.747,1
229.7,1,0,2,1,9,1,1,1,0.41,1
12.7,0,0,1,0,4,0,1,0,0.747,0
1.9,0,1,2,2,9,2,0,2,0.007,0
18.1,0,0,1,0,2,1,1,1,0.344,0
212.1,0,2,0,2,1,1,0,2,0.44,0
280.5,0,1,1,1,10,0,0,0,0.47,0
83.5,0,0,0,0,8,2,0,0,0.749,0
297.3,0,1,2,0,10,2,2,0,0.963,0
20.0,2,0,3,0,3,2,0,0,0.38,0
280.3,0,1,2,0,4,0,2,1,0.351,1
324.7,3,1,1,1,6,2,0,0,0.611,1
270.2,1,1,1,3,4,0,1,1,0.281,0
244.3,0,0,3,3,2,1,1,0,0.141,0
293.3,0,0,0,1,4,0,1,0,0.962,0
14.1,0,1,0,2,6,1,1,1,0.81,0
70.6,3,2,1,2,0,1,1,0,0.958,1
43.7,0,0,1,3,3,0,2,0,0.218,0
176.6,1,1,1,0,3,1,1,0,0.018,0
260.8,3,0,0,1,0,2,0,0,0.437,0
220.5,3,1,1,1,1,2,0,1,0.934,1
297.9,0,2,0,0,5,2,1,0,0.138,1
54.3,0,0,0,1,1,1,0,0,0.117,0
257.1,0,0,0,3,3,0,1,1,0.069,0
67.6,0,0,1,3,6,2,1,1,0.765,0
94.8,0,0,2,0,9,0,0,1,0.786,0
248.5,1,0,1,1,1,1,1,0,0.695,1
343.1,3,0,2,1,4,0,1,3,0.053,1
214.0,1,0,2,1,1,2,1,0,0.723,0
19.1,1,0,1,2,4,1,1,0,0.449,0
215.7,0,0,2,0,5,2,2,3,0.158,1
14.8,2,1,2,3,8,1,1,1,0.295,0
309.5,1,1,1,4,4,1,2,1,0.501,1
248.4,2,0,0,2,10,1,0,2,0.33,1
60.6,3,1,0,2,1,0,1,0,0.97,0
32.1,0,0,3,1,0,1,1,2,0.475,0
64.2,0,0,2,1,0,1,0,1,0.372,0
343.0,0,0,3,0,3,1,0,0,0.673,0
160.5,0,0,3,2,2,0,1,0,0.651,0
274.4,3,0,0,0,1,2,0,0,0.002,0
222.7,0,0,2,3,2,1,2,3,0.618,0
200.3,2,1,1,1,10,0,0,0,0.244,1
50.8,1,1,2,1,8,0,0,0,0.375,0
331.1,0,0,0,1,0,1,1,1,0.706,0
105.5,0,0,0,4,10,1,0,1,0.557,0
202.3,1,0,2,0,2,2,0,0,0.369,1
244.9,1,1,2,0,4,0,1,2,0.167,0
227.2,0,1,1,0,3,2,1,1,0.505,0
329.2,0,0,1,2,4,1,0,2,0.319,0
52.0,1,0,1,4,8,1,1,0,0.913,0
177.9,0,0,3,0,7,2,1,0,0.534,0
141.4,3,0,1,3,6,1,1,1,0.866,1
166.0,0,1,1,1,6,0,0,0,0.39,0
41.7,0,1,1,2,8,1,0,1,0.827,0
46.9,0,0,1,0,2,2,2,0,0.057,0
97.3,1,0,1,1,4,2,1,2,0.298,0
106.6,1,0,1,2,1,0,0,2,0.078,0
149.8,0,0,2,1,7,2,1,2,0.032,0
213.8,3,0,3,0,4,1,0,3,0.919,1
222.1,0,0,3,3,7,0,1,3,0.717,1
144.1,0,2,1,4,6,2,1,0,0.625,0
143.1,0,0,1,1,3,1,2,0,0.532,0
76.2,0,0,2,2,1,1,2,2,0.57,1
205.9,1,0,2,2,10,2,0,3,0.639,1
111.0,0,0,1,0,3,1,1,3,0.827,0
12.6,1,1,2,3,1,2,0,2,0.597,0
146.4,0,0,2,1,3,1,1,0,0.749,0
165.9,3,1,2,2,9,0,1,3,0.281,1
79.0,0,1,2,0,2,1,0,3,0.977,0
200.4,2,0,0,1,10,2,0,1,0.032,0
198.0,0,0,1,1,5,1,0,2,0.387,0
245.7,0,2,1,1,9,0,0,1,0.882,0
226.8,2,0,0,3,7,2,0,3,0.181,1
228.4,1,0,2,4,0,2,2,0,0.141,0
110.7,2,2,1,0,5,2,1,2,0.365,1
275.6,0,1,0,1,4,1,1,0,0.428,0
192.2,1,0,2,1,2,1,1,0,0.933,0
151.0,2,0,2,1,6,1,1,0,0.836,0
219.1,1,0,2,1,1,2,0,0,0.464,0
126.2,0,1,1,3,7,2,2,0,0.973,0
179.5,1,0,2,2,9,2,1,3,0.642,1
257.8,1,0,1,0,1,1,1,1,0.874,0
310.2,3,1,1,1,5,0,2,2,0.246,1
322.4,0,2,0,2,7,1,1,0,0.489,1
176.3,0,1,1,1,0,0,1,0,0.03,1
182.1,2,0,2,0,4,0,2,2,0.009,1
280.0,1,0,1,1,2,1,0,1,0.705,0
110.1,1,2,1,1,0,2,1,1,0.118,1
293.1,0,2,2,0,8,2,0,2,0.548,1
172.9,0,0,2,2,4,2,0,2,0.696,0
40.5,1,0,0,1,8,2,1,1,0.032,0
25.2,0,0,3,2,6,2,0,3,0.449,0
294.7,0,0,2,1,9,2,2,1,0.684,1
19.4,1,0,3,3,10,0,0,1,0.89,0
98.2,1,0,3,0,6,1,1,0,0.299,0
116.9,2,0,3,0,3,0,0,0,0.974,0
60.5,0,1,2,1,4,0,2,0,0.845,0
109.9,0,0,1,1,9,0,0,2,0.651,0
259.9,3,0,0,1,4,2,0,1,0.392,1
5.1,0,0,1,2,5,2,0,0,0.711,0
289.5,0,0,2,0,2,2,1,1,0.816,0
299.8,0,0,1,0,10,2,2,0,0.303,0
130.3,1,0,2,1,7,2,2,0,0.993,0
53.8,2,0,0,2,3,0,0,3,0.909,0
210.3,2,0,1,3,6,2,0,0,0.486,0
